Date,STOXX
14-8-2017,376.160004
15-8-2017,376.5
16-8-2017,379.089996
17-8-2017,376.869995
18-8-2017,374.200012
21-8-2017,372.720001
22-8-2017,375.799988
23-8-2017,373.920013
24-8-2017,374.51001
25-8-2017,374.070007
28-8-2017,372.290009
29-8-2017,368.420013
30-8-2017,371.01001
31-8-2017,373.880005
1-9-2017,376.140015
4-9-2017,374.179993
5-9-2017,373.709991
6-9-2017,373.950012
7-9-2017,374.950012
8-9-2017,375.51001
11-9-2017,379.429993
12-9-2017,381.420013
13-9-2017,381.339996
14-9-2017,381.790009
15-9-2017,380.709991
18-9-2017,381.950012
19-9-2017,382.119995
20-9-2017,381.980011
21-9-2017,382.880005
22-9-2017,383.220001
25-9-2017,383.899994
26-9-2017,384.029999
27-9-2017,385.619995
28-9-2017,386.359985
29-9-2017,388.160004
2-10-2017,390.130005
3-10-2017,390.720001
4-10-2017,390.399994
5-10-2017,391.029999
6-10-2017,389.470001
9-10-2017,390.209991
10-10-2017,390.160004
11-10-2017,390.149994
12-10-2017,390.279999
13-10-2017,391.420013
16-10-2017,391.410004
17-10-2017,390.440002
18-10-2017,391.559998
19-10-2017,389.109985
20-10-2017,390.130005
23-10-2017,390.73999
24-10-2017,389.329987
25-10-2017,387.130005
26-10-2017,391.269989
27-10-2017,393.429993
30-10-2017,393.910004
31-10-2017,395.220001
1-11-2017,396.769989
2-11-2017,394.940002
3-11-2017,396.059998
6-11-2017,396.589996
7-11-2017,394.649994
8-11-2017,394.450012
9-11-2017,390.070007
10-11-2017,388.690002
13-11-2017,386.130005
14-11-2017,383.859985
15-11-2017,381.959991
16-11-2017,384.929993
17-11-2017,383.799988
20-11-2017,386.390015
21-11-2017,388.100006
22-11-2017,387.059998
23-11-2017,387.119995
24-11-2017,386.630005
27-11-2017,384.869995
28-11-2017,387.019989
29-11-2017,387.959991
30-11-2017,386.690002
1-12-2017,383.970001
4-12-2017,387.470001
5-12-2017,386.73999
6-12-2017,386.320007
7-12-2017,386.410004
8-12-2017,389.25
11-12-2017,389.049988
12-12-2017,391.630005
13-12-2017,390.700012
14-12-2017,388.910004
15-12-2017,388.190002
18-12-2017,392.660004
19-12-2017,391.019989
20-12-2017,388.369995
21-12-2017,390.690002
22-12-2017,390.279999
27-12-2017,390.540009
28-12-2017,389.540009
29-12-2017,389.179993
3-1-2018,390.220001
4-1-2018,393.679993
5-1-2018,397.350006
8-1-2018,398.410004
9-1-2018,400.109985
10-1-2018,398.600006
11-1-2018,397.25
12-1-2018,398.48999
15-1-2018,397.829987
16-1-2018,398.350006
17-1-2018,397.970001
18-1-2018,398.730011
19-1-2018,400.880005
22-1-2018,402.109985
23-1-2018,402.809998
24-1-2018,400.790009
25-1-2018,398.559998
26-1-2018,400.570007
29-1-2018,399.799988
30-1-2018,396.119995
31-1-2018,395.459991
1-2-2018,393.48999
2-2-2018,388.070007
5-2-2018,382
6-2-2018,372.790009
7-2-2018,380.130005
8-2-2018,374.029999
9-2-2018,368.609985
12-2-2018,372.929993
13-2-2018,370.579987
14-2-2018,374.529999
15-2-2018,376.51001
16-2-2018,380.619995
19-2-2018,378.23999
20-2-2018,380.51001
21-2-2018,381.100006
22-2-2018,380.339996
23-2-2018,381.160004
26-2-2018,383.059998
27-2-2018,382.359985
28-2-2018,379.630005
1-3-2018,374.859985
2-3-2018,367.040009
5-3-2018,370.869995
6-3-2018,371.369995
7-3-2018,372.709991
8-3-2018,376.619995
9-3-2018,378.23999
12-3-2018,379.200012
13-3-2018,375.48999
14-3-2018,374.940002
15-3-2018,376.880005
16-3-2018,377.709991
19-3-2018,373.679993
20-3-2018,375.570007
21-3-2018,374.959991
22-3-2018,369.149994
23-3-2018,365.820007
26-3-2018,363.179993
27-3-2018,367.570007
28-3-2018,369.26001
29-3-2018,370.869995
3-4-2018,369.070007
4-4-2018,367.329987
5-4-2018,376.130005
6-4-2018,374.820007
9-4-2018,375.299988
10-4-2018,378.420013
11-4-2018,376.179993
12-4-2018,378.820007
13-4-2018,379.200012
16-4-2018,377.73999
17-4-2018,380.769989
18-4-2018,381.859985
19-4-2018,381.950012
20-4-2018,381.839996
23-4-2018,383.179993
24-4-2018,383.109985
25-4-2018,380.170013
26-4-2018,383.75
27-4-2018,384.640015
30-4-2018,385.320007
2-5-2018,387.440002
3-5-2018,384.619995
4-5-2018,387.029999
7-5-2018,389.51001
8-5-2018,390
9-5-2018,392.440002
11-5-2018,392.399994
14-5-2018,392.190002
15-5-2018,392.369995
16-5-2018,393.209991
17-5-2018,395.790009
18-5-2018,394.670013
22-5-2018,396.940002
23-5-2018,392.579987
24-5-2018,390.540009
25-5-2018,391.079987
28-5-2018,389.820007
29-5-2018,384.470001
30-5-2018,385.48999
31-5-2018,383.059998
