Date,FX
21-6-2017,1.113697
22-6-2017,1.11672
23-6-2017,1.114964
26-6-2017,1.119884
27-6-2017,1.118356
28-6-2017,1.133915
29-6-2017,1.138265
30-6-2017,1.144165
3-7-2017,1.142309
4-7-2017,1.137139
5-7-2017,1.136015
6-7-2017,1.134687
7-7-2017,1.142478
10-7-2017,1.140381
11-7-2017,NaN
12-7-2017,1.147394
13-7-2017,1.141891
14-7-2017,1.140394
17-7-2017,1.147539
18-7-2017,1.147434
19-7-2017,1.154974
20-7-2017,1.152844
21-7-2017,1.162872
24-7-2017,1.16817
25-7-2017,1.163887
26-7-2017,1.164456
27-7-2017,1.1728
28-7-2017,1.168866
31-7-2017,1.174729
1-8-2017,1.18241
2-8-2017,1.181126
3-8-2017,1.185115
4-8-2017,1.188495
7-8-2017,1.177842
8-8-2017,1.180094
9-8-2017,1.175461
10-8-2017,1.176152
11-8-2017,1.177024
14-8-2017,1.18255
15-8-2017,1.177579
16-8-2017,1.174122
17-8-2017,1.177426
18-8-2017,1.17155
21-8-2017,1.175627
22-8-2017,1.181195
23-8-2017,1.176221
24-8-2017,1.181656
25-8-2017,1.18022
28-8-2017,1.195186
29-8-2017,1.196387
30-8-2017,1.197046
31-8-2017,1.189343
1-9-2017,1.191043
4-9-2017,1.188284
5-9-2017,1.189343
6-9-2017,1.192407
7-9-2017,1.192777
8-9-2017,1.202906
11-9-2017,1.201764
12-9-2017,1.195943
13-9-2017,1.197461
14-9-2017,1.189061
15-9-2017,1.192165
18-9-2017,1.193716
19-9-2017,1.195929
20-9-2017,1.199256
21-9-2017,1.187211
22-9-2017,1.194558
25-9-2017,1.19272
26-9-2017,1.185565
27-9-2017,1.178606
28-9-2017,1.174964
29-9-2017,1.178175
2-10-2017,1.180735
3-10-2017,1.173378
4-10-2017,1.174757
5-10-2017,1.175724
6-10-2017,1.171234
9-10-2017,1.174246
10-10-2017,1.174164
11-10-2017,1.181488
12-10-2017,1.186549
13-10-2017,1.18318
16-10-2017,1.181405
17-10-2017,1.179454
18-10-2017,1.177191
19-10-2017,1.179523
20-10-2017,1.184806
23-10-2017,1.175364
24-10-2017,1.175917
25-10-2017,1.175903
26-10-2017,1.182075
27-10-2017,1.163724
30-10-2017,1.160456
31-10-2017,1.16527
1-11-2017,1.165175
2-11-2017,1.162872
3-11-2017,1.166181
6-11-2017,1.161494
7-11-2017,1.161265
8-11-2017,1.160106
9-11-2017,1.159689
10-11-2017,1.164687
13-11-2017,1.166113
14-11-2017,1.166494
15-11-2017,1.179287
16-11-2017,NaN
17-11-2017,1.177745
20-11-2017,1.173186
21-11-2017,1.174122
22-11-2017,1.173723
23-11-2017,1.181474
24-11-2017,1.185396
27-11-2017,1.192649
28-11-2017,1.19049
29-11-2017,1.184806
30-11-2017,1.185199
1-12-2017,1.189825
4-12-2017,1.185986
5-12-2017,1.186775
6-12-2017,1.183292
7-12-2017,1.180429
8-12-2017,1.177218
11-12-2017,1.176997
12-12-2017,1.177759
13-12-2017,1.17426
14-12-2017,1.183586
15-12-2017,1.177496
18-12-2017,1.174357
19-12-2017,1.178425
20-12-2017,1.184133
21-12-2017,1.187818
22-12-2017,1.185733
25-12-2017,1.185607
26-12-2017,1.187254
27-12-2017,1.185789
28-12-2017,1.190079
29-12-2017,1.194172
1-1-2018,1.200495
2-1-2018,1.201158
3-1-2018,1.206345
4-1-2018,1.201043
5-1-2018,1.206884
8-1-2018,1.203746
9-1-2018,1.197046
10-1-2018,1.192933
11-1-2018,1.195614
12-1-2018,1.20421
15-1-2018,1.21923
16-1-2018,1.226843
17-1-2018,1.227129
18-1-2018,1.218398
19-1-2018,1.223661
22-1-2018,1.22555
23-1-2018,1.225625
24-1-2018,1.231027
25-1-2018,1.239111
26-1-2018,1.239234
29-1-2018,1.242807
30-1-2018,1.238114
31-1-2018,1.240957
1-2-2018,1.241866
2-2-2018,1.251001
5-2-2018,1.244694
6-2-2018,1.236782
7-2-2018,1.238129
8-2-2018,1.226813
9-2-2018,1.226076
12-2-2018,1.22528
13-2-2018,1.230376
14-2-2018,1.235376
15-2-2018,1.246727
16-2-2018,1.25036
19-2-2018,1.241188
20-2-2018,1.239864
21-2-2018,1.233532
22-2-2018,1.228184
23-2-2018,1.232666
26-2-2018,1.228713
27-2-2018,1.231557
28-2-2018,1.223032
1-3-2018,1.219126
2-3-2018,1.227084
5-3-2018,1.231542
6-3-2018,1.233654
7-3-2018,1.241665
8-3-2018,1.241465
9-3-2018,1.230663
12-3-2018,1.230875
13-3-2018,1.233958
14-3-2018,1.239234
15-3-2018,1.237562
16-3-2018,1.230921
